account_length,international_plan,voice_mail_plan,number_vmail_messages,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,total_net_minutes,total_net_calls,total_net_charge
107,0,1,26.0,13.7,3.0,3.7,1,0,611.5,329.0,55.540000000000006
137,0,0,0.0,12.2,5.0,3.29,0,0,527.2,328.0,59.00000000000001
84,1,0,0.0,6.6,7.0,1.78,2,0,560.45,248.0,65.215
75,1,0,0.0,10.1,3.0,2.73,3,0,501.9,356.0,49.36
121,0,1,24.0,7.5,7.0,2.03,3,0,766.35,314.0,75.17500000000001
147,1,0,0.0,7.1,6.0,1.92,0,0,471.90000000000003,269.0,44.980000000000004
117,0,0,0.0,8.7,4.0,2.35,1,0,735.8499999999999,267.0,69.595
141,1,1,37.0,11.2,5.0,3.02,0,0,807.0,292.0,77.52
65,0,0,0.0,12.7,6.0,3.43,4,1,566.4000000000001,331.0,50.77
74,0,0,0.0,9.1,5.0,2.46,0,0,547.1,369.0,54.62
168,0,0,0.0,11.2,2.0,3.02,1,0,374.8,295.0,37.17
95,0,0,0.0,12.3,5.0,3.32,3,0,596.5,278.0,56.32
161,0,0,0.0,5.4,9.0,1.46,4,1,803.9125,292.0,89.56750000000001
85,0,1,27.0,13.8,4.0,3.73,1,0,566.5999999999999,304.0,61.28999999999999
76,0,1,33.0,10.0,5.0,2.7,1,0,568.2,239.0,57.800000000000004
73,0,0,0.0,13.0,2.0,3.51,1,0,576.7,252.0,60.39
147,0,0,0.0,10.6,4.0,2.86,0,0,603.5999999999999,343.0,56.14
77,0,0,0.0,5.7,6.0,1.54,5,1,441.9,274.0,34.48
130,0,0,0.0,9.5,10.5,2.57,0,0,437.70000000000005,289.0,45.49
111,0,0,0.0,7.7,6.0,2.08,2,0,437.3,310.0,38.97
132,0,0,0.0,10.3,2.0,2.78,0,0,563.3,273.0,45.3
57,0,1,39.0,9.5,3.0,2.57,0,0,586.8,342.0,60.67
